Wonder,Location,Year
Great Pyramid of Giza,Egypt,2560 BC
Great Wall of China,China,700 BC
Petra,Jordan,312 BC
Colosseum,Italy,AD 80
Chichen Itza,Mexico,AD 600
Machu Picchu,Peru,AD 1450
Taj Mahal,India,AD 1643
Christ the Redeemer,Brazil,AD 1931
